timestamp_ms,left_brightness,right_brightness
97997,99,107
98015,89,104
98032,90,85
98048,84,89
98065,145,134
98082,172,171
98098,174,174
98115,174,174
98131,170,164
98148,167,165
98164,174,173
98181,174,174
98198,170,170
98214,163,161
98230,164,162
98247,164,162
98264,173,173
98281,169,167
98297,169,149
98314,158,153
98331,158,146
98347,151,143
98364,143,135
98382,155,161
98399,174,169
98415,170,173
98431,165,165
98448,167,163
98465,159,160
98482,174,174
98498,171,158
98515,168,163
98532,157,164
98549,165,156
98566,167,163
98583,152,153
98600,152,152
98617,152,152
98633,146,142
98650,163,162
98667,166,165
98684,160,154
98700,166,173
98717,161,160
98734,158,155
98751,153,147
98767,142,160
98784,151,143
98801,173,174
98818,164,168
98835,157,165
98851,172,173
98869,169,169
98886,163,163
98902,174,174
98918,174,174
98935,167,161
98951,155,147
98969,144,140
98986,144,140
99003,135,116
99020,139,143
99037,126,116
99055,120,116
99071,120,129
99088,107,109
99105,128,112
99122,146,152
99138,136,135
99155,112,130
99171,130,126
99188,129,124
99205,111,111
99222,112,123
99239,111,121
99255,112,121
99272,108,114
99288,108,94
99305,127,131
99322,120,115
99339,170,167
99356,174,168
99373,148,156
99390,162,163
99407,145,149
99424,125,123
99441,143,138
99457,137,134
99474,147,159
99491,158,146
99508,144,140
99525,134,138
99542,136,131
99561,167,174
99577,157,170
99594,155,153
99611,158,153
99627,173,152
99644,154,155
99660,173,132
99676,145,155
99693,151,148
99709,148,159
99726,148,159
99742,156,158
99760,134,138
99776,117,125
99793,123,116
99810,103,104
99827,158,159
99844,126,122
99860,91,105
99877,167,169
99894,86,95
99912,121,139
99928,96,104
99944,167,159
99961,108,118
99977,111,100
99994,173,164
100011,131,121
100028,151,165
100044,153,138
100061,155,159
100077,173,173
100094,152,158
100110,162,167
100127,173,174
100144,163,165
100160,169,168
100177,158,170
100193,174,173
100210,165,167
100227,152,142
100243,145,153
100260,140,140
100277,147,143
100294,141,128
100311,140,140
100327,134,153
100343,132,148
100360,140,136
100377,132,128
100393,127,141
100410,152,163
100427,144,152
100445,152,138
100462,149,158
100478,159,165
100495,144,156
100512,172,171
100530,134,141
100547,163,163
100564,172,172
100581,174,177
100597,172,170
100615,166,168
100631,174,174
100648,174,174
100664,169,160
100681,154,146
100698,140,145
100714,142,132
100731,171,165
100748,174,169
100764,158,162
100780,160,155
100797,159,147
100814,157,159
100831,152,156
100848,153,147
100865,147,142
100882,134,132
100899,124,126
100915,128,145
100932,169,169
100948,174,174
100965,170,171
100982,170,170
100999,139,143
101015,130,133
101032,126,125
101048,165,170
101065,152,162
101082,151,163
101100,147,144
101117,143,141
101133,129,120
101149,163,163
101167,154,158
101184,112,123
101200,125,125
101217,122,126
101234,142,128
101251,125,121
101268,170,170
101284,140,153
101301,153,143
101318,161,149
101335,158,159
101353,104,106
101369,172,172
101386,129,139
101403,130,128
101420,153,163
101437,164,166
101454,158,154
101471,139,140
101488,171,171
101505,160,153
101522,152,152
101538,172,173
101555,171,167
