timestamp_ms,left_brightness,right_brightness
13940,102,90
13956,88,94
13973,79,76
13990,78,79
14007,83,86
14023,92,83
14040,103,92
14056,88,76
14073,88,76
14090,94,100
14107,78,76
14123,91,79
14140,84,79
14158,93,89
14175,89,86
14193,89,86
14210,88,90
14227,82,92
14244,89,85
14261,80,94
14278,102,108
14294,101,103
14311,100,108
14328,138,139
14345,129,140
14362,110,121
14379,123,115
14396,130,117
14413,120,112
14430,121,130
14448,99,97
14464,98,92
14480,105,99
14497,136,150
14514,130,144
14531,127,133
14547,139,131
14563,139,131
14580,125,136
14597,122,124
14613,119,136
14631,123,132
14647,128,127
14663,117,128
14681,122,126
14698,134,115
14714,119,110
14731,108,110
14748,113,103
14765,106,96
14781,100,99
14798,140,131
14815,130,120
14832,134,141
14848,128,122
14864,127,131
14881,143,131
14898,146,117
14915,143,131
14931,152,136
14947,149,143
14964,128,135
14980,133,120
14997,136,130
15014,136,125
15030,127,126
15047,120,130
15063,123,128
15080,134,128
15096,129,128
15113,127,126
15130,169,154
15147,138,157
15164,134,146
15181,135,142
15197,164,172
15214,144,152
15231,141,140
15247,161,153
15264,173,155
15281,151,148
15298,155,146
15315,134,159
15331,148,146
15348,158,153
15365,158,167
15381,156,165
15399,158,148
15415,145,159
15431,142,144
15448,152,141
15465,147,142
15482,153,144
15499,159,156
15515,147,136
15531,153,148
15548,148,147
15566,158,164
15583,166,150
15600,168,133
15617,169,152
15634,168,152
15650,158,147
15667,146,149
15684,160,153
15701,160,161
15717,154,171
15734,162,167
15751,158,154
15768,158,159
15785,167,173
15802,174,163
15819,156,166
15835,155,154
15851,150,140
15869,158,140
15886,173,173
15902,164,174
15919,152,165
15935,149,152
15951,132,154
15969,132,141
15986,170,140
16002,160,152
16019,150,141
16036,155,152
16053,149,134
16070,150,136
16087,147,152
16104,133,144
16121,159,142
16138,172,170
16154,140,143
16171,170,171
16188,167,163
16204,117,148
16222,146,140
16238,139,164
16254,156,156
16271,151,152
16287,165,159
16304,158,153
16320,148,154
16337,174,174
16353,174,174
16370,154,159
16386,154,161
16402,156,156
16419,155,150
16437,132,145
16454,123,136
16470,120,144
16487,136,132
16504,131,126
16522,120,134
16538,131,132
16554,114,129
16571,121,127
16588,127,140
16605,100,127
16622,98,133
16639,132,126
16656,138,145
16673,137,130
16690,141,116
16707,143,111
16724,143,121
16741,139,132
16758,149,112
16775,136,118
16792,136,123
16810,120,102
16826,134,112
16844,120,113
16861,154,112
16878,171,124
16894,150,138
16911,146,145
16928,139,159
16944,148,161
16962,145,113
16979,128,159
16996,139,169
17014,135,155
17031,161,147
17047,138,135
17064,154,144
17080,131,146
17097,138,130
17114,148,154
17131,132,126
17147,130,118
17163,127,112
17180,120,124
17198,115,120
17215,118,119
17231,124,121
17247,104,126
17265,102,125
17282,154,163
17299,120,144
17316,101,127
17333,121,145
17351,131,122
17367,104,112
17384,126,135
17400,112,134
17417,109,114
17434,121,101
17451,113,134
17467,135,110
17483,101,118
17500,127,117
17517,125,117
17534,119,121
17550,116,120
17567,114,109
17584,108,109
17601,142,152
17617,134,120
17634,124,112
17652,123,118
17668,98,111
17685,103,108
17701,117,110
17717,111,109
17735,128,141
17751,125,147
17768,115,108
17784,98,106
17801,114,119
17818,111,125
17834,104,115
17850,111,115
17867,112,107
17883,112,107
17900,97,102
17917,113,92
17933,121,114
17951,130,131
17968,120,92
17985,103,94
18002,110,89
18018,94,93
18034,97,97
18051,106,122
18067,105,100
18084,98,110
18101,94,92
18117,85,95
18134,85,95
18150,148,130
18167,143,163
18184,149,168
18200,139,143
18217,121,143
18234,109,133
18250,116,145
18267,128,147
18283,147,135
18300,134,142
18317,137,146
18334,146,140
18351,136,143
18368,122,134
18385,115,103
18402,104,99
18418,99,90
18434,96,87
18451,98,85
18468,111,102
18484,101,92
18502,89,96
18519,96,106
18536,82,89
18552,74,90
18569,91,98
18585,96,93
18601,97,90
18618,94,93
18634,87,85
18651,85,86
18668,127,108
18685,130,105
18702,116,105
18718,114,98
18736,117,107
18752,110,98
18769,114,105
18786,167,157
18803,141,141
18820,151,156
18837,141,152
18853,109,104
18870,151,130
18888,149,150
18904,122,130
18921,155,122
18938,162,144
18955,123,113
18972,149,138
18989,142,141
19006,136,142
19024,163,167
19041,164,157
19058,158,174
19074,173,168
19091,171,165
19108,174,174
19124,173,143
19142,160,165
19159,139,138
19175,161,153
19192,156,165
19208,141,155
19224,171,164
19241,135,173
19258,132,140
19274,145,140
19291,157,135
19308,141,132
19325,153,150
19342,137,129
19358,136,111
19376,113,97
19392,152,135
19409,99,99
19427,128,136
19443,153,146
19460,119,119
19476,157,155
19493,120,124
19510,111,116
19526,169,174
19542,165,174
19559,174,168
19575,157,143
19592,165,156
19608,123,131
19625,162,164
19642,155,150
19659,139,132
19676,142,120
19692,122,128
19709,127,131
19726,134,120
19743,136,128
19760,126,133
19776,123,122
19793,125,105
19810,96,93
19826,93,87
19843,168,168
19860,172,173
19877,173,168
19894,159,172
19911,148,155
19927,136,141
19944,144,134
19961,120,149
19977,124,172
19994,159,153
20010,152,135
20028,138,136
20045,126,127
20062,163,171
20078,156,170
20096,153,163
20112,144,159
20129,109,116
20145,113,108
20162,134,97
20179,166,159
20196,135,140
20213,121,108
20230,104,108
20247,100,124
20263,91,123
20280,165,171
20297,167,174
20315,154,161
20332,119,139
20349,115,99
20366,115,116
20382,141,149
20400,134,136
20417,117,129
20434,113,124
20451,101,118
20468,110,121
20485,158,155
20502,157,171
20518,143,147
20535,101,101
20552,87,86
20569,101,133
20585,89,131
20601,144,144
20618,127,140
20636,133,142
20653,148,149
20670,104,140
20686,115,116
20702,152,152
20718,149,149
20735,126,122
20751,108,114
20768,102,99
20786,123,102
20804,117,125
20820,141,145
20836,141,142
20852,130,131
20869,108,88
20885,95,91
20902,88,81
20918,111,101
20934,118,115
20951,117,118
20968,120,121
20984,112,108
21001,107,107
21018,112,110
21034,91,101
21050,106,108
21068,107,105
21084,107,105
21100,104,105
21118,116,107
21135,107,122
21151,116,118
21168,117,105
21185,132,130
21202,120,121
21218,131,134
21236,134,145
21254,134,144
21271,124,137
21287,127,123
21304,126,123
21321,114,134
21337,102,108
21354,106,110
21372,122,109
21389,150,148
21406,160,163
21423,124,103
21440,165,160
21457,156,153
21474,170,157
21491,156,148
21508,146,147
21525,136,142
21542,123,134
21560,144,157
21576,153,169
21593,172,165
21610,154,159
21626,160,157
21643,169,171
21660,138,166
21677,149,155
21693,159,173
21710,156,157
21727,160,160
21743,152,151
21760,156,149
21777,167,174
21794,174,174
21812,169,167
21829,163,163
21845,173,167
21861,163,164
21879,163,154
21896,174,170
21912,174,165
21929,174,162
21945,164,162
21962,172,164
21978,161,161
21996,153,153
22012,162,151
22029,147,142
22047,137,145
22063,146,143
22081,147,132
22097,147,160
22113,167,159
22131,150,154
22148,163,156
22165,168,160
22181,167,150
22197,159,151
22214,170,168
22230,172,162
22246,168,168
22263,123,145
22280,134,134
22298,131,141
22314,131,141
22331,126,138
22347,124,137
22364,116,133
22381,112,137
22397,124,137
22414,145,150
22431,137,147
22448,124,147
22465,125,142
22482,125,137
22498,132,147
22514,138,146
22531,143,149
22548,140,154
22565,137,153
22582,138,161
22599,124,118
22617,144,127
22634,150,145
22650,133,135
22667,127,130
22683,127,130
22701,142,123
22717,156,156
22733,133,114
22750,173,156
22767,157,165
22783,159,173
22800,161,170
22816,167,171
22832,141,132
22849,163,159
22867,152,164
22883,158,165
22900,135,156
22917,127,129
22934,127,129
22950,143,126
22967,132,139
22983,129,117
23001,144,143
23018,121,134
23034,161,171
23051,173,172
23067,173,173
23084,153,148
23101,152,148
23118,128,127
23134,145,123
23151,127,122
23168,138,143
23184,151,127
23200,164,160
23217,114,112
23234,169,159
23250,96,110
23266,165,168
23283,108,106
23300,92,97
23317,107,116
23334,112,96
23351,102,89
23368,120,99
23384,150,136
23402,127,101
23419,116,102
23436,113,120
23452,115,110
23469,122,125
23486,150,170
23502,143,168
23518,135,143
23536,110,131
23552,114,128
23568,96,113
23585,101,103
23602,93,100
23618,92,97
23635,95,89
23652,88,92
23669,84,88
23687,89,89
23703,107,97
23720,119,129
23736,110,113
23752,103,107
23769,111,108
23785,112,112
23802,127,122
23818,115,117
23834,125,118
23851,120,109
23867,107,88
23884,96,84
23901,106,89
23918,97,93
23934,90,95
23951,99,87
23967,92,101
23983,100,91
24000,79,90
24016,99,92
24033,119,110
24051,116,100
24068,110,101
24084,106,91
24100,104,103
24117,104,101
24134,103,101
24151,112,108
24167,100,111
24183,90,111
24201,77,88
24217,92,86
24234,100,77
24250,83,77
24267,72,87
24284,72,87
24301,78,83
24318,72,65
24335,78,83
24352,81,82
24368,78,84
24384,83,84
24401,75,65
24418,75,72
24434,79,66
24451,82,83
24468,82,75
24485,72,79
24503,75,82
24519,75,87
24535,84,94
24552,79,80
24569,87,74
24585,82,96
24601,72,88
24618,73,84
24635,70,79
24651,70,79
24667,73,85
24683,78,74
24700,66,81
24717,75,76
24734,75,78
24751,69,82
24767,72,84
24783,74,82
24800,92,76
24817,84,76
24834,78,80
24850,71,72
24867,75,80
24883,76,78
24900,85,75
24917,73,72
24933,60,86
24950,79,79
24967,65,83
24984,77,72
25000,80,82
25017,72,79
25034,68,71
25051,63,66
25068,76,78
25085,74,86
25102,80,68
25119,77,79
25136,76,66
25152,75,55
25168,65,82
25185,75,61
25201,71,64
25218,76,77
25235,62,78
25251,69,79
25268,76,65
25284,67,60
25301,63,74
25319,137,160
25335,114,86
25351,101,96
25368,76,94
25385,77,86
25401,79,73
25417,68,73
25435,65,64
25451,65,65
25468,60,78
25485,76,67
25502,72,71
25519,167,92
25535,113,130
25552,124,166
25569,125,119
25585,91,117
25602,85,92
25619,109,118
25636,121,124
25652,118,113
25669,119,98
25685,125,108
25701,116,100
25718,105,104
25734,100,94
25751,116,101
25767,111,91
25784,109,87
25801,113,99
25818,87,89
25834,90,77
25851,148,148
25869,85,96
25886,104,106
25903,116,134
25920,115,115
25936,110,100
25952,117,135
25970,110,135
25987,130,96
26003,115,109
26021,123,114
26038,88,98
26054,107,96
26071,136,140
26087,151,157
26104,136,142
26120,163,157
26137,153,129
26153,123,102
26170,131,138
26186,146,155
26203,150,143
26221,158,153
26237,139,123
26253,139,123
26270,151,146
26287,155,158
26304,123,137
26321,151,130
26338,170,150
26354,154,160
26371,165,164
26388,151,160
26404,172,162
26422,172,173
26438,172,153
26454,167,166
26471,173,173
26487,160,140
26504,160,140
26520,117,120
26537,116,123
26555,104,107
26571,102,104
26587,97,91
26604,93,94
26620,93,99
26637,98,77
26655,88,98
26671,102,94
26688,85,104
26705,171,167
26722,171,164
26739,141,152
26755,148,135
26772,157,145
26788,128,150
26804,130,103
26821,105,94
26838,108,125
26855,120,104
26872,120,104
26889,98,116
26907,104,103
26924,103,88
26940,104,103
26957,95,85
26973,90,84
26991,93,87
27007,87,94
27023,81,71
27040,83,91
27057,85,76
27073,79,80
27091,83,84
27107,80,81
27124,83,73
27141,102,102
27158,119,122
27175,103,104
27192,94,103
27208,80,97
27225,87,80
27242,102,88
27259,100,104
27276,117,135
27293,90,96
27310,76,96
27327,75,89
27343,124,109
27361,124,98
27378,108,99
27394,109,97
27411,102,105
27429,96,103
27445,93,92
27461,99,83
27478,95,78
27495,97,79
27512,85,102
27528,79,91
27545,95,82
27561,117,107
27578,105,90
27595,112,94
27612,112,99
27628,85,104
27644,107,91
27661,97,87
27678,80,84
27695,82,96
27712,87,93
27728,82,83
27745,83,81
27762,79,78
27779,90,93
27796,114,110
27813,112,117
27829,93,90
27845,98,81
27862,103,89
27879,105,91
27896,85,89
27912,106,103
27929,110,105
27946,110,105
27964,108,113
27980,96,98
27997,125,128
28014,133,120
28031,128,131
28047,110,96
28063,96,89
28081,96,92
28098,142,153
28114,171,156
28131,167,172
28148,134,125
28164,124,138
28182,106,137
28199,164,162
28216,151,143
28232,154,153
28249,103,133
28266,110,127
28283,131,106
28301,122,127
28317,150,142
28334,159,131
28351,111,126
28368,90,106
28385,121,113
28403,131,95
28419,159,150
28436,139,149
28453,131,142
28471,134,154
28487,149,154
28503,163,164
28520,152,141
28536,160,138
28552,169,164
28568,149,130
28586,136,144
28603,124,139
28620,124,113
28638,173,172
28654,174,159
28670,142,145
28687,161,166
28704,142,131
28721,125,131
28737,125,120
28754,135,141
28770,133,149
28787,121,118
28803,122,136
28820,109,101
28837,108,98
28855,116,114
28871,107,106
28887,102,110
28904,118,109
28921,119,101
28937,124,100
28953,128,110
28970,112,98
28987,108,109
29003,125,115
29020,111,119
29037,112,116
29053,108,122
29071,132,134
29088,114,106
29105,124,125
29122,119,121
29138,113,122
29155,162,171
29172,151,167
29189,153,140
29206,155,162
29222,159,173
29239,130,150
29255,112,136
29272,152,154
29288,172,145
29306,132,129
29323,150,130
29339,139,136
29355,131,129
29372,137,117
29388,161,147
29405,152,146
29422,143,127
29439,137,148
29456,139,155
29473,128,141
29490,169,169
29507,154,154
29524,162,163
29541,174,174
29558,167,166
29574,167,166
29591,166,164
29608,174,174
29625,174,174
29642,164,174
29658,174,174
29674,163,174
29690,158,154
29707,173,173
29723,147,158
29740,143,142
29757,168,172
29773,135,134
29791,120,127
29807,94,100
29823,94,100
29841,105,136
29858,103,103
29874,95,110
29891,85,94
29908,162,155
29926,169,161
29942,169,161
29959,134,136
29977,113,107
29994,102,116
30011,141,147
30028,134,136
30047,125,129
30063,151,131
30080,149,145
30097,128,135
30113,138,136
30130,172,173
30147,164,159
30164,169,159
30180,172,174
30197,174,172
30213,164,162
30230,173,172
30247,174,174
30263,173,173
30280,133,136
30297,123,116
30313,123,116
30331,118,110
30347,174,174
30363,174,173
30380,143,131
30397,108,117
30413,128,104
30429,104,86
30447,138,146
30464,137,155
30481,122,135
30499,139,121
30515,120,92
30531,107,101
30548,134,154
30565,142,130
30581,130,130
30598,137,113
30615,118,104
30632,109,96
30648,95,95
30664,120,131
30681,120,120
30697,104,102
30714,99,104
30731,85,90
30749,114,112
30766,140,142
30783,158,153
30800,115,135
30817,111,129
30833,119,126
30850,119,134
30867,104,101
30883,123,135
30901,127,145
30918,112,102
30934,112,102
30950,124,125
30967,117,106
30984,161,132
31001,143,126
31018,132,124
31034,121,131
31050,117,131
31067,112,122
31084,110,125
31100,125,134
31116,124,145
31133,121,139
31150,102,99
31167,103,93
31184,87,89
31201,116,124
31217,150,142
31234,151,151
31250,100,106
31266,92,73
31283,95,71
31300,98,75
31316,72,74
31332,78,76
31349,89,73
31366,85,68
31382,85,67
31399,73,83
31416,152,151
31433,144,152
31449,106,110
31466,102,105
31483,103,99
31500,109,97
31517,130,131
31534,141,140
31551,130,153
31568,128,117
31584,90,87
31601,69,84
31618,74,74
31634,161,140
31651,145,140
31668,147,137
31686,149,135
31702,152,134
31718,133,139
31734,138,133
31751,147,144
31767,120,140
31784,143,138
31801,130,112
31818,133,144
31836,115,129
31853,134,121
31871,143,136
31887,135,131
31904,130,131
31920,145,137
31937,125,99
31953,100,105
31970,81,80
